nor,scrutin_id,jorf_text_id,bytes,status,titulo
JUSX2110856L,3779,JORFTEXT000044545982,11385,ok,l'ensemble du projet de loi organique pour la confiance dans l'institution judiciaire (première lecture).
AGRX2113732L,3786,JORFTEXT000044553572,31439,ok,l'ensemble de la proposition de loi portant mesures d'urgence pour assurer la régulation de l'accès au foncier agricole au travers de structures sociétaires (première lecture).
INTD2107675L,3798,JORFTEXT000043876100,63111,ok,l'ensemble du projet de loi relatif à la prévention d'actes de terrorisme et au renseignement (première lecture).
TERB2103184L,3809,JORFTEXT000043672870,13020,ok,l'ensemble du projet de loi ratifiant les ordonnances n° 2021-45 du 20 janvier 2021 et n° 2021-71 du 27 janvier 2021 portant réforme de la formation des élus locaux (première lecture).
MTRX2118937L,3827,JORFTEXT000044513772,2629,ok,l'ensemble de la proposition de loi visant à assurer la revalorisation des pensions de retraites agricoles les plus faibles (première lecture).
AGRX2119054L,3852,JORFTEXT000044220683,56838,ok,l'ensemble de la proposition de loi visant à protéger la rémunération des agriculteurs (première lecture).
SSAA2115600L,3888,JORFTEXT000045133771,70288,ok,l'ensemble du projet de loi relatif à la protection des enfants (première lecture).
TREX2100379L,3891,JORFTEXT000043956924,607507,ok,l'ensemble du projet de loi portant lutte contre le dérèglement climatique et renforcement de la résilience face à ses effets (texte de la commission mixte paritaire).
PRMX2121946L,3943,JORFTEXT000043909676,41908,ok,l'ensemble du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
MTRT2115835L,3971,JORFTEXT000045133768,4935,ok,l'ensemble du projet de loi ratifiant l'ordonnance n° 2021-484 du 21 avril 2021 relative aux modalités de représentation des travailleurs indépendants recourant pour leur activité aux plateformes et aux conditions d'exercice de cette représentation et portant habilitation du Gouvernement à compléter par ordonnance les règles organisant le dialogue social avec les plateformes (première lecture).
ECHX2127873L,3979,JORFTEXT000045097703,5345,ok,l'ensemble de la proposition de loi interdisant les pratiques visant à modifier l'orientation sexuelle ou l'identité de genre d'une personne (première lecture).
MICX2115869L,3981,JORFTEXT000044537514,7500,ok,l'ensemble de la proposition de loi relative aux bibliothèques et au développement de la lecture publique (première lecture).
MICX2114446L,3982,JORFTEXT000044637892,16581,ok,l'ensemble de la proposition de loi visant à conforter l'économie du livre et à renforcer l'équité et la confiance entre ses acteurs (première lecture).
PRMX2129237L,4034,JORFTEXT000044315202,25579,ok,l'ensemble du projet de loi portant diverses dispositions de vigilance sanitaire (première lecture).
ECOX2126830L,4150,JORFTEXT000044637640,536318,ok,l'ensemble du projet de loi de finances pour 2022 (première lecture).
ECOX2119883L,4156,JORFTEXT000044589827,61861,ok,l'ensemble de la proposition de loi organique relative à la modernisation de la gestion des finances publiques (texte de la commission mixte paritaire).
ARMD2128964L,4167,JORFTEXT000045220741,11445,ok,"l'ensemble du projet de loi portant reconnaissance de la Nation et réparation des préjudices subis par les harkis, par les autres personnes rapatriées d'Algérie anciennement de statut civil de droit local et par leurs familles du fait des conditions de leur accueil sur le territoire français (première lecture)."
ECOX2119889L,4177,JORFTEXT000045351814,6153,ok,l'ensemble de la proposition de loi relative aux restrictions d'accès à certaines professions en raison de l'état de santé (deuxième lecture).
ECOX2132784L,4183,JORFTEXT000045268729,12766,ok,"l'ensemble de la proposition de loi pour un accès plus juste, plus simple et plus transparent au marché de l'assurance emprunteur (première lecture)."
ECOX2028976L,4186,JORFTEXT000045294275,2201,ok,l'ensemble de la proposition de loi pour la mise en place d'une certification de cybersécurité des plateformes numériques destinée au grand public (première lecture).
SSAX2136319L,4191,JORFTEXT000045067964,1993,ok,l'ensemble de la proposition de loi visant à la création d'une plateforme de référencement et de prise en charge des malades chroniques de la covid-19 (première lecture).
ECOZ2132317L,4245,JORFTEXT000044553569,8634,ok,"l'ensemble de la proposition de loi visant à renforcer la régulation environnementale du numérique par l'Autorité de régulation des communications électroniques, des postes et de la distribution de la presse (première lecture)."
ECOI2122201L,4283,JORFTEXT000045167536,84103,ok,l'ensemble du projet de loi en faveur de l'activité professionnelle indépendante (première lecture).
AGRT2132804L,4287,JORFTEXT000045287633,30905,ok,l'ensemble du projet de loi portant réforme des outils de gestion des risques climatiques en agriculture (première lecture).
ARMX2107874L,4322,JORFTEXT000045287631,961,ok,l'ensemble de la proposition de loi relative au monde combattant (première lecture).
ECOX2137360L,4328,JORFTEXT000045287677,6687,ok,l'ensemble de la proposition de loi visant à encourager l'usage du contrôle parental sur certains équipements et services vendus en France et permettant d'accéder à internet (première lecture).
TREX2139032L,4329,JORFTEXT000045268743,147037,ok,l'ensemble de la proposition de loi relative à l'aménagement du Rhône (première lecture).
MICB2124079L,4348,JORFTEXT000045197692,5240,ok,l'ensemble du projet de loi relatif à la restitution ou la remise de certains biens culturels aux ayants droit de leurs propriétaires victimes de persécutions antisémites (première lecture).
TRAT2117044L,4350,JORFTEXT000045268707,15453,ok,l'ensemble du projet de loi ratifiant les ordonnances prises sur le fondement de l'article 13 de la loi n° 2019-816 du 2 août 2019 relative aux compétences de la Collectivité européenne d'Alsace (première lecture).
JUSX2139030L,4351,JORFTEXT000045287682,3251,ok,l'ensemble de la proposition de loi pour garantir l'égalité et la liberté dans l'attribution et le choix du nom (première lecture).
ECOX2119890L,4352,JORFTEXT000045351804,45032,ok,l'ensemble de la proposition de loi organique relative aux lois de financement de la sécurité sociale (nouvelle lecture).
EAEJ2017077L,4354,JORFTEXT000045097699,945,ok,"l'ensemble du projet de loi autorisant l'approbation de l'avenant à la convention entre le Gouvernement de la République française et le Gouvernement de la République argentine du 4 avril 1979, en vie d'éviter les doubles impositions et de prévenir l'évasion fiscale en matière d'impôts sur le revenu et sur la fortune (première lecture)."
EAEX2201243L,4409,JORFTEXT000045268755,5028,ok,l'ensemble de la proposition de loi visant à faire évoluer la gouvernance de l'Agence pour l'enseignement français à l'étranger et à créer les instituts régionaux de formation (première lecture).
