storage_key,dossier_uid,scrutin_id,fecha_scrutin,titulo_scrutin,jorf_text_id,title_matched,match_score,bytes,status
DLR5L15N37884,DLR5L15N37884,2351,2019-12-12,l'ensemble de la proposition de loi relative au passage de l'épreuve théorique du code de la route dans les lycées (première lecture).,JORFTEXT000033934948,,0.12,0,low_score_or_no_match
DLR5L15N41758,DLR5L15N41758,2352,2019-12-12,l'ensemble de la proposition de loi visant à étendre la qualité de pupille de la Nation aux enfants des sauveteurs en mer décédés dans le cadre de leur mission de sauvetage et à assurer les besoins de financement de la Société nationale de sauvetage en mer (première lecture).,,,0.00,0,low_score_or_no_match
DLR5L15N37946,DLR5L15N37946,2408,2019-12-19,l'ensemble du projet de loi relatif à l'engagement dans la vie locale et à la proximité de l'action publique (texte de la commission mixte paritaire).,JORFTEXT000039681877,<mark>LOI</mark> n° 2019-1461 du 27 décembre 2019 relative à <mark>l'engagement</mark> dans la <mark>vie</mark> <mark>locale</mark> et à la <mark>proximité</mark> de <mark>l'action</mark> <mark>publique</mark> (1),1.05,185383,ok
DLR5L15N38489,DLR5L15N38489,2427,2020-01-29,l'ensemble de la proposition de loi visant à protéger les victimes de violences conjugales (première lecture).,JORFTEXT000042176652,<mark>LOI</mark> n° 2020-936 du 30 juillet 2020 <mark>visant</mark> à <mark>protéger</mark> les <mark>victimes</mark> de <mark>violences</mark> <mark>conjugales</mark> (1),1.10,19195,ok
DLR5L15N38204,DLR5L15N38204,2431,2020-01-30,l'ensemble de la proposition de loi visant à instaurer un congé de deuil de douze jours consécutifs pour le décès d'un enfant mineur (première lecture).,JORFTEXT000042738027,,0.11,0,low_score_or_no_match
DLR5L15N38205,DLR5L15N38205,2437,2020-01-30,l'ensemble de la proposition de loi visant à améliorer l'accès à certaines professions des personnes atteintes de maladies chroniques (première lecture).,JORFTEXT000044441220,<mark>LOI</mark> n° 2021-1575 du 6 décembre 2021 relative aux restrictions <mark>d'accès</mark> à <mark>certaines</mark> <mark>professions</mark> en raison de l'état de santé (1),0.38,0,rejected_low_score
DLR5L15N38380,DLR5L15N38380,2445,2020-01-30,l'ensemble de la proposition de loi relative à la déshérence des retraites supplémentaires (première lecture).,JORFTEXT000043189305,<mark>LOI</mark> n° 2021-219 du 26 février 2021 <mark>relative</mark> à la <mark>déshérence</mark> des contrats de <mark>retraite</mark> <mark>supplémentaire</mark> (1),0.55,6605,ok
DLR5L15N38414,DLR5L15N38414,2454,2020-02-13,l'ensemble de la proposition de loi portant diverses mesures de justice sociale (première lecture).,JORFTEXT000000221912,<mark>LOI</mark> n° 2001-1168 du 11 décembre 2001 <mark>portant</mark> <mark>mesures</mark> urgentes de réformes à caractère économique et financier (1),0.40,0,rejected_low_score
DLR5L15N37771,DLR5L15N37771,2455,2020-02-13,l'ensemble de la proposition de loi relative au droit des victimes de présenter une demande d'indemnité au fonds de garantie des actes de terrorisme et autres infractions (première lecture).,JORFTEXT000042075133,<mark>LOI</mark> n° 2020-833 du 2 juillet 2020 <mark>relative</mark> au <mark>droit</mark> des <mark>victimes</mark> de <mark>présenter</mark> une <mark>demande</mark> <mark>d'indemnité</mark> au <mark>Fonds</mark> de <mark>garantie</mark> des <mark>victimes</mark> des <mark>actes</mark> de <mark>terrorisme</mark> et <mark>d'autres</mark> <mark>infractions</mark> (1),1.12,753,ok
DLR5L15N40710,DLR5L15N40710,2459,2020-02-13,l'ensemble de la proposition de loi relative à la protection patrimoniale des langues régionales et à leur promotion (première lecture).,JORFTEXT000043524722,<mark>LOI</mark> n° 2021-641 du 21 mai 2021 <mark>relative</mark> à la <mark>protection</mark> <mark>patrimoniale</mark> des <mark>langues</mark> <mark>régionales</mark> et à leur <mark>promotion</mark> (1),1.05,4298,ok
DLR5L15N42607,DLR5L15N42607,2742,2020-05-13,l'ensemble de la proposition de loi visant à lutter contre les contenus haineux sur internet (lecture définitive).,JORFTEXT000042031970,<mark>LOI</mark> n° 2020-766 du 24 juin 2020 <mark>visant</mark> à <mark>lutter</mark> <mark>contre</mark> les <mark>contenus</mark> <mark>haineux</mark> sur <mark>internet</mark> (1),1.18,8903,ok
DLR5L15N38251,DLR5L15N38251,2769,2020-06-25,l'ensemble de la proposition de loi pour une éthique de l'urgence (première lecture).,JORFTEXT000053508155,<mark>LOI</mark> n° 2026-103 du 19 février 2026 de finances pour 2026 (1),0.38,0,rejected_low_score
