scrutin_id,fecha,fecha_iso,sort,amendement_num,sous_amendement_num,es_sous_amendement,es_suppression,es_redaction_globale,es_identiques,demandeur,article_ref,ley_tipo,ley_titulo_corto,dossier_ref,titulo_scrutin
3928,2021-07-22,2021-07-22,rejeté,1216,1216,1,0,0,0,M. Jumel à l'amendement n° 1033 (rect.) du Gouvernement,premier,projet de loi,relatif à la gestion de la crise sanitaire,,le sous-amendement n° 1216 de M. Jumel à l'amendement n° 1033 (rect.) du Gouvernement à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3929,2021-07-22,2021-07-22,rejeté,1217,1217,1,0,0,1,M. Jumel et le sous-amendement identique suivant à l'amendement n° 1033 (rect.) du Gouvernement,premier,projet de loi,relatif à la gestion de la crise sanitaire,,le sous-amendement n° 1217 de M. Jumel et le sous-amendement identique suivant à l'amendement n° 1033 (rect.) du Gouvernement à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
393,2018-02-14,2018-02-14,rejeté,131,131,1,0,0,0,,,projet de loi,relatif à l'élection des représentants au Parlement européen,,le sous-amendement n°131 de Mme Fiat à l'amendement n° 128 du Gouvernement après l'article 2 du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).
3930,2021-07-22,2021-07-22,rejeté,1219,1219,1,0,0,1,M. Jumel et le sous-amendement identique suivant à l'amendement n° 1033 (rect.) du Gouvernement,premier,projet de loi,relatif à la gestion de la crise sanitaire,,le sous-amendement n° 1219 de M. Jumel et le sous-amendement identique suivant à l'amendement n° 1033 (rect.) du Gouvernement à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3931,2021-07-22,2021-07-22,rejeté,1235,1235,1,0,0,0,Mme El Aaraje à l'amendement n° 1033 (rect.) du Gouvernement,premier,projet de loi,relatif à la gestion de la crise sanitaire,,le sous-amendement n° 1235 de Mme El Aaraje à l'amendement n° 1033 (rect.) du Gouvernement à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3932,2021-07-22,2021-07-22,rejeté,1220,1220,1,0,0,1,M. Jumel et le sous-amendement identique suivant à l'amendement n° 1033 (rect.) du Gouvernement,premier,projet de loi,relatif à la gestion de la crise sanitaire,,le sous-amendement n° 1220 de M. Jumel et le sous-amendement identique suivant à l'amendement n° 1033 (rect.) du Gouvernement à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3933,2021-07-22,2021-07-22,adopté,1033,,0,0,0,0,,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 1033 (rect.) du Gouvernement à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3934,2021-07-22,2021-07-22,adopté,705,,0,0,0,0,Mme El Aaraje,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 705 de Mme El Aaraje à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3935,2021-07-22,2021-07-22,rejeté,580,,0,0,0,0,Mme El Aaraje,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 580 de Mme El Aaraje à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3938,2021-07-22,2021-07-22,rejeté,1171,,0,0,0,0,Mme El Aaraje,5,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 1171 de Mme El Aaraje à l'article 5 du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
