id,full_name,twitter_name,twitter_web_urls,tweets_en_captura,top_mentions
267336,Joël Giraud,JoelGiraud05,twitter.com/JoelGiraud05,436,partiradical:43; elisabeth_borne:17; assembleenat:12; emmanuelmacron:12; joelgiraud05:9; mfesneau:9; lcp:8; fauredominique:8; deputesre:8; n_delattre:7; hautesalpes:6; prefet05:6; renaudmuselier:5; maregionsud:5; oliviagregoire:5; jmarie_bernard:4; arnaudmurgia:4; sarahelhairy:4; david_valence:4; ceymeoud:4; p_vergriete:3; assoardsl:3; villebriancon:3; gabrielattal:3; cbeaune:3; ferrarimarina73:3; pascaleboyerem:3; olivierdussopt:3; pace_news:3; cecile_rilhac:2
721070,Nadia Ramassamy,NadiaRamassamy,twitter.com/NadiaRamassamy,436,nadiaramassamy:44; lcp:11; republicains_an:7; assembleenat:7; jmblanquer:7; la1ere:5; reunionla1ere:3; emmanuelmacron:3; renaissance:3; seblecornu:3; marcdelatte:3; antennereunion:3; lesrepublicains:3; lejdd:3; outremers360:2; an_afsoc:2; le_figaro:2; reuniontourisme:2; lamanifpourtous:2; obergervdn:2; causeur:2; mafoikprajan:2; wef:1; defimediainfo:1; morisinfo:1; rajpalsinghall1:1; lesoutremer:1; zinfoslive:1; brajonmuriel:1; lememento:1
267378,Geneviève Levy,genevievelevy83,twitter.com/genevievelevy83,429,hubertfalco:60; republicains_an:27; genevievelevy83:19; lesrepublicains:17; villedetoulon:15; renaudmuselier:10; republicains83:10; assembleenat:7; fxbellamy:7; cmuschotti:7; massonjeanlouis:6; laurentwauquiez:6; lcp:5; chjacob77:5; philippevitel:5; nbelloubet:4; chenevard2022:3; prefet83:3; vpecresse:3; jeancastex:3; doorjean:3; francoisbaroin:3; var_matin:3; vmtoulon:3; justice_gouv:3; mltoulon:2; aauteuil:2; fdecanson:2; jeunesrep83:2; patrickhetzel:2
721372,Damien Pichereau,DamienPichereau,twitter.com/DamienPichereau,422,emmanuelmacron:22; marleneschiappa:15; damienpichereau:12; djebbari_jb:12; larem_an:12; enmarchesarthe:8; an_devdur:8; cbeaune:7; jeancastex:7; ccastaner:7; olivierveran:6; f_personne:6; elisabeth_borne:5; juliedelpech72:5; mkaramanli72:5; lmaillart:5; jmzulesi:4; brunolemaire:4; gouvernementfr:4; an_afeur:4; valeriehayer:3; fderugy:3; christophebechu:3; sergedanilo:3; gabrielattal:3; jean_lucfugit:3; joelgiraud05:3; j_denormandie:3; vpecresse:3; oconesteban:2
721734,Philippe Michel-Kleisbauer,PhilippeMichelK,twitter.com/PhilippeMichelK,421,emmanuelmacron:126; bayrou:29; jnbarrot:28; philippemichelk:18; modem:15; francediplo_en:14; franceonu:12; francediplo:11; elysee:11; lcp:11; pde_edp:9; gouvernementfr:8; zelenskyyua:8; unmissmedia:7; amb_delattre:6; narendramodi:6; mfesneau:6; keir_starmer:6; franceintheus:4; lacroix_un:4; unreliefchief:4; frenchresponse:4; franceintheuk:4; democrats_eu:4; youngdemseu:4; modemvar:4; franceenukraine:3; armees_gouv:3; iomsouthsudan:3; afpfr:3
720790,Romain Grau,RomainGrau,twitter.com/RomainGrau,420,guillemgervilla:56; peruchopierre:55; isamdenoell:50; issouf_niang:42; frigolaisa:27; comitepr66:18; e_dupondm:17; romaingrau:14; gdarmanin:11; seblecornu:10; emmanuelmacron:9; estevevalls:7; krls:6; philenglebert:6; ambroise_mejean:6; usap_officiel:5; murielpenicaud:5; nbrousse19:5; michel66000:4; jeunesmacronpo:4; lindependant:4; jam66:3; gouvernementfr:3; assembleenat:3; jcpentreprise:3; jfportarrieu:2; adia66:2; bfmbusiness:2; guitardyvon:2; top14rugby:2
2492,Didier Quentin,didierquentin,twitter.com/didierquentin,419,vpecresse:59; didierquentin:26; an_afetr:25; avecvalerie:13; lesrepublicains:11; desarnez:11; lejdd:7; assembleenat:7; smarcilly:5; republicains_an:5; labiche_david:5; julienduressay:4; republicains_17:4; ripostepecresse:3; maudgatel:3; f3vilain:3; franceaumali:3; mickaelvallet:2; laurence:2; tf1:2; nicolassarkozy:2; karampatrick:2; alexisdutertre:2; laurentwauquiez:2; dbussereau:2; franceinfo:2; ademontchalin:2; agenetet:2; an_outremers:2; sebastien_nadot:2
607395,Stéphane Travert,StTRAVERT,twitter.com/StTRAVERT,417,emmanuelmacron:35; deputesensemble:22; assembleenat:20; sttravert:20; an_afeco:16; sophiaaram:13; auroreberge:13; seblecornu:12; dp_leparti:9; elysee:8; anniegenevard:8; prefecture50:7; icicotentin:6; elisabeth_borne:6; juliettemeadel:6; lcp:5; yaelbraunpivet:5; les_citadelles:5; ebothorel:5; sauveteursenmer:5; ferraccimarc:4; lacoopagricole:4; cbeaune:4; renaissance:4; gabrielattal:3; renaudpila:3; schnockrevue:3; mathieumlefevre:3; emma_ducros:3; csnumpost:3
718944,Cathy Racon-Bouzon,RaconCathy,twitter.com/RaconCathy,415,emmanuelmacron:47; maxime_boudet:37; raconcathy:36; avecvous:17; saidahamada:12; celinecalvez:9; clementdeidda:7; laprovence:6; bfmmarseille:6; 1elisamoreno:6; elisabeth_borne:5; 1pieceofrubbish:5; gabrielattal:4; france3provence:4; matteopvne:4; najat_akodad:4; cecile_rilhac:3; j_jaures:3; benoitpayan:3; marseille:3; pascleclercq:3; assembleenat:3; jeancastex:3; prefet13:3; rixainmp:3; franceculture:3; mlp_officiel:3; nadiahai78:3; adrientaquet:3; jeunesmacron_13:2
642788,Olivier Véran,olivierveran,twitter.com/olivierveran,414,olivierveran:43; elysee:39; emmanuelmacron:24; elisabeth_borne:8; laurenceboone:4; charlottecaubel:3; fauredominique:3; rolandlescure:2; fadila_khattabi:2; b_belhaddad:2; ljacobelli:2; francedk:2; audreyaronica:1; corinnevignon:1; sarahourahmoune:1; gabrielattal:1; rimaabdulmalak:1; agnesfirmin:1; libe:1; latribune:1; lopinion_fr:1; ledauphine:1; handicap_fr:1; franceinter:1; t_cazenave:1; rtlfrance:1; agnesrunacher:1; gouvernementfr:1; christophebechu:1; olivie:1
