tweet_id,timestamp,text,author_handle,mentioned_handles,deputy_id,full_name,twitter_name,twitter_web_urls,political_group_abbrev,political_group
1989074367091777922,Thu Nov 13 20:54:18 +0000 2025,"RT @DavidFritzGoep: C’est chose faite.

Les héros, mes héros sont enfin honorés.",alouismars,davidfritzgoep,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1989074340806291665,Thu Nov 13 20:54:12 +0000 2025,RT @EmmanuelMacron: La France se souvient. https://t.co/3EuGwYboMt,alouismars,emmanuelmacron,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
2019529139292881040,Thu Feb 05 21:50:42 +0000 2026,"RT @pybournazel: Pour redresser Paris, mon plan est clair et chiffré :
✅ 4,2 Mds€ d'économies sur le fonctionnement

Grâce à une meilleure…",flprovendier,pybournazel,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2018617487558881499,Tue Feb 03 09:28:07 +0000 2026,"RT @EmmanuelMacron: Immense soulagement. Tom Felix a été acquitté par la justice malaisienne. Pensées particulières pour ses parents, que j…",flprovendier,emmanuelmacron,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2017896701894226198,Sun Feb 01 09:43:59 +0000 2026,"RT @pybournazel: J’ai le plaisir de vous présenter les trois porte-paroles de ma campagne pour Paris :

@MarleneSchiappa, ancienne ministre…",flprovendier,marleneschiappa; pybournazel,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2017493373175697824,Sat Jan 31 07:01:18 +0000 2026,"RT @HadrienGhomi: Malgré la pluie, nous étions nombreux ce soir aux Invalides pour le rassemblement de solidarité avec le peuple iranien qu…",flprovendier,hadrienghomi,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2017491601510085117,Sat Jan 31 06:54:15 +0000 2026,RT @NathalieLoiseau: Ce fut un combat et je suis fière d’y avoir participé: l’Europe a commencé et poursuit son assistance militaire à l’Ar…,flprovendier,nathalieloiseau,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2016903839119544721,Thu Jan 29 15:58:42 +0000 2026,"RT @jnbarrot: Iran : il ne peut y avoir d’impunité.

L’insoutenable répression de la révolte pacifique du peuple iranien ne peut rester san…",flprovendier,jnbarrot,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2016805875558523304,Thu Jan 29 09:29:25 +0000 2026,"RT @ogamashiyo: Christophe Gleizes n’est pas un pion diplomatique. Son emprisonnement ressemble à un règlement de comptes d’État à État, su…",flprovendier,ogamashiyo,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2015517710839402843,Sun Jan 25 20:10:43 +0000 2026,RT @DVATW: Why is the world silent? https://t.co/LASDTJH0VU,flprovendier,dvatw,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
