id,full_name,twitter_name,twitter_web_urls,tweets_en_captura,top_mentions
1809,Jérôme Lambert,jeromelambert16,twitter.com/jeromelambert16,892,amisazerbaidjan:92; gordontesos:84; jeromelambert16:62; guillaume20100:58; faureolivier:34; labdullayevamfa:32; socialistesan:26; lcp:24; azambassadefr:20; guilhemb12:20; cedric_temple:18; assembleenat:12; borisvallaud:12; pbeyssac:12; imilnb:12; moro_cedric:8; dorcel:8; bcazeneuve:6; lesrepublicains:6; valerie_rabault:6; nicolasmayernmr:6; brunoretailleau:6; emmanuelmacron:6; cphre2020:6; mathildepanot:6; samuelchurin:6; desarnez:6; senat:4; nasimiaghayev:4; caucasef:4
720644,Jérôme Nury,jeromenury,twitter.com/jeromenury,888,jeromenury:164; ornedepartement:54; senateur61:50; verolouwagie:38; prefet61:38; assembleenat:26; republicains_an:24; lcp:20; guillaumegarot:18; herve_morin:14; segouinv:14; nicolasloque:14; ornecombattante:10; ancterritoires:10; chantaljourdan:8; fbleubnormandie:8; f3normandie:8; orangenormandie:8; lbeauvaisbn:8; constancelegrip:6; fftelecoms:6; oliviermarleix:6; lesrepublicains:6; banquedesterr:6; energiematin:4; ffequitation:4; ebothorel:4; anniegenevard:4; lesburalistes:4; cdebalorre:4
721792,Émilie Guerel,eguerelLREM,twitter.com/eguerelLREM,878,sarahelhairy:94; emmanuelmacron:60; yaelbraunpivet:44; an_comlois:28; snujemengage:22; laseynesurmer:22; ephilippepm:14; assembleenat:12; eguerellrem:12; ccastaner:10; larem_an:10; auroreberge:10; lcp:8; renaudmuselier:8; guy_lvt:6; jmblanquer:6; eduscol:6; elisabeth_borne:6; lesjam83:6; jblemoyne:6; brunolemaire:6; bquestel:6; maregionsud:6; jeancastex:6; conv_citoyenne:6; oliviagregoire:6; olivierveran:6; ambroise_mejean:4; priscathevenot:4; gabrielattal:4
718868,Michel Larive,Michel_Larive,twitter.com/Michel_Larive,876,benedicttaurine:20; michel_larive:16; jlmelenchon:8; mbompard:8; l_insoumission:8; christophebex:6; mathildehignet:6; tremasuri:6; deputee_obono:6; clem_autain:6; franceinsoumise:6; manonmeunier_up:4; sylv20carriere:4; mathildepanot:4; nathalieoziol:4; leilachaibi:4; poncetraymonde:4; aleaument:4; clemence_guette:2; icioccitanie:2; confpaysanne:2; gabrielattal:2; mic:2; younousomarjee:2; sebrome:2; anne_stambach:2; leowalter04:2; leboucher_elise:2; ruralites_lfi:2; dominiquesubra:2
608416,Patrick Hetzel,patrickhetzel,twitter.com/patrickhetzel,876,patrickhetzel:234; genethique:170; lcp:46; droiterep_an:26; lesrepublicains:24; thibault_bazin:24; republicains_an:24; brunoretailleau:22; bentzchristophe:18; fxbellamy:18; cavautrin:18; republicains67:16; asso_sfap:16; philippejuvin:16; michelbarnier:16; pdharreville:16; deputecvautrin:14; potierdominique:12; h2brgrd:12; speytavie:12; anniegenevard:12; le_figaro:10; sandrousseau:10; laurentwauquiez:10; mdehennezel:10; sandrine_dogor:10; astridpanosyan:10; pilatorene:10; cecile_rilhac:10; olivierfalorni:8
720468,Sébastien Chenu,sebchenu,twitter.com/sebchenu,874,mlp_officiel:110; bfmtv:80; j_bardella:78; rnational_off:54; franceinfo:48; groupern_off:38; cnews:30; lci:28; tf1:28; sebchenu:22; franceinter:18; alexandredfss:16; julienodoul:16; publicsenat:16; helenelaportern:14; rtlfrance:14; europe1:12; joshuahochart:12; sudradio:12; partisocialiste:8; jphtanguy:8; rn_hdf:8; falconfrederic:8; emmanuelmacron:6; lesrepublicains:6; valentin_antoi:6; challoncle:6; assembleenat:6; apollinewakeup:6; lcp:6
267336,Joël Giraud,JoelGiraud05,twitter.com/JoelGiraud05,872,partiradical:86; elisabeth_borne:34; assembleenat:24; emmanuelmacron:24; joelgiraud05:18; mfesneau:18; lcp:16; fauredominique:16; deputesre:16; n_delattre:14; hautesalpes:12; prefet05:12; renaudmuselier:10; maregionsud:10; oliviagregoire:10; jmarie_bernard:8; arnaudmurgia:8; sarahelhairy:8; david_valence:8; ceymeoud:8; p_vergriete:6; assoardsl:6; villebriancon:6; gabrielattal:6; cbeaune:6; ferrarimarina73:6; pascaleboyerem:6; olivierdussopt:6; pace_news:6; cecile_rilhac:4
721070,Nadia Ramassamy,NadiaRamassamy,twitter.com/NadiaRamassamy,872,nadiaramassamy:88; lcp:22; republicains_an:14; assembleenat:14; jmblanquer:14; la1ere:10; reunionla1ere:6; emmanuelmacron:6; renaissance:6; seblecornu:6; marcdelatte:6; antennereunion:6; lesrepublicains:6; lejdd:6; outremers360:4; an_afsoc:4; le_figaro:4; reuniontourisme:4; lamanifpourtous:4; obergervdn:4; causeur:4; mafoikprajan:4; wef:2; defimediainfo:2; morisinfo:2; rajpalsinghall1:2; lesoutremer:2; zinfoslive:2; brajonmuriel:2; lememento:2
267378,Geneviève Levy,genevievelevy83,twitter.com/genevievelevy83,858,hubertfalco:120; republicains_an:54; genevievelevy83:38; lesrepublicains:34; villedetoulon:30; renaudmuselier:20; republicains83:20; assembleenat:14; fxbellamy:14; cmuschotti:14; massonjeanlouis:12; laurentwauquiez:12; lcp:10; chjacob77:10; philippevitel:10; nbelloubet:8; chenevard2022:6; prefet83:6; vpecresse:6; jeancastex:6; doorjean:6; francoisbaroin:6; var_matin:6; vmtoulon:6; justice_gouv:6; mltoulon:4; aauteuil:4; fdecanson:4; jeunesrep83:4; patrickhetzel:4
721372,Damien Pichereau,DamienPichereau,twitter.com/DamienPichereau,844,emmanuelmacron:44; marleneschiappa:30; damienpichereau:24; djebbari_jb:24; larem_an:24; enmarchesarthe:16; an_devdur:16; cbeaune:14; jeancastex:14; ccastaner:14; olivierveran:12; f_personne:12; elisabeth_borne:10; juliedelpech72:10; mkaramanli72:10; lmaillart:10; jmzulesi:8; brunolemaire:8; gouvernementfr:8; an_afeur:8; valeriehayer:6; fderugy:6; christophebechu:6; sergedanilo:6; gabrielattal:6; jean_lucfugit:6; joelgiraud05:6; j_denormandie:6; vpecresse:6; oconesteban:4
